Full name;Symbol letter;Element symbol;CAS number;Electron configuration;Atomic number;Atomic mass;van der Waals radius;Atomic radius;Covalent radius;Melting point;Boiling point;First electron affinity;First ionization energy;Electronegativity Pauling;Electronegativity Allred;Electronegativity Absolute
NA;NA;NA;NA;NA;NA;Ang;Pm;Pm;Pm;Kelvin;Kelvin;kJ/mol;kJ/mol-1;Pauling;Allred;EV
String;String;String;String;String;Integer;Float;Float;Float;Float;Float;Float;Float;Float;Float;Float;Float
Name;Symbol;ElementSymbol;CAS;Econfig;An;Am;Vwr;Ar;Cr;Mp;Bp;Ea1;Ie1;Enpauling;Enallred;Enabs
Hydrogen;H;H;1333-74-0;1s1;1;1.00794;120;78;30;14.01;20.28;72.8;1312;2.2;2.2;7.18
Helium;He;He;7440-59-7;1s2;2;4.002602;122;128;NA;0.95;4.216;0;2372.3;NA;5.5;12.3
Lithium;Li;Li;7439-93-2;2s1;3;6.941;NA;152;123;453.69;1620;59.6;513.3;0.98;0.97;3.01
Beryllium;Be;Be;7440-41-7;2s2;4;9.012182;NA;113;89;1551;3243;-18;899.4;1.57;1.47;4.9
Boron;B;B;7440-42-8;2s22p1;5;10.811;208;83;88;2573;3931;26.7;800.6;2.04;2.01;4.29
Carbon;C;C;7440-44-0;2s22p2;6;12.011;185;77;77;3820;5100;121.9;1086.2;2.55;2.5;6.27
Nitrogen;N;N;7727-37-9;2s22p3;7;14.00674;154;71;70;63.29;77.4;-7;1402.3;3.04;3.07;7.3
Oxygen;O;O;7782-44-7;2s22p4;8;15.9994;140;NA;66;54.8;90.188;141;1313.9;3.44;3.5;7.54
Fluor;F;F;7782-41-4;2s22p5;9;18.9984032;135;70.9;58;53.53;85.01;328;1681;3.98;4.1;10.41
Neon;Ne;Ne;7440-01-9;2s22p6;10;20.1797;160;NA;NA;24.48;27.1;-29;2080.6;NA;4.84;10.6
Sodium;Na;Na;7440-23-5;3s1;11;22.989768;231;154;NA;370.96;1156.1;52.9;495.8;0.93;1.01;2.85
Magnesium;Mg;Mg;7439-95-4;3s2;12;24.305;NA;160;136;922;1363;-21;737.7;1.31;1.23;3.75
Aluminium;Al;Al;7429-90-5;3s23p1;13;26.981539;205;143;125;933.52;2740;44;577.4;1.61;1.47;3.23
Silicium;Si;Si;7440-21-3;3s23p2;14;28.0855;200;117;117;1683;2628;133.6;786.5;1.9;1.74;4.77
Phosphorus;P;P;7723-14-0;3s23p3;15;30.973762;190;93;110;317.3;553;44;1011.7;2.19;2.06;5.62
Sulphur;S;S;7704-34-9;3s23p4;16;32.066;185;104;104;386;717.824;200.4;999.6;2.58;2.44;6.22
Chlorine;Cl;Cl;7782-50-5;3s23p5;17;35.4527;181;NA;99;172.17;239.18;349;1251.1;3.16;2.83;8.3
